Type of crack,Crack length,a,b,t/b,Type of BCs,kx,ky,Omega
0,0.7,1,1,0.01,0,1,50,2.1347
0,0.7,1,1,0.01,0,5,0,2.3015
0,0.7,1,1,0.01,0,5,0.5,2.2103
0,0.7,1,1,0.01,0,5,1,2.1739
0,0.7,1,1,0.01,0,5,5,2.1355
0,0.7,1,1,0.01,0,5,50,2.1347
0,0.7,1,1,0.01,0,50,0,2.1477
0,0.7,1,1,0.01,0,50,0.5,2.142
0,0.7,1,1,0.01,0,50,1,2.139
0,0.7,1,1,0.01,0,50,5,2.1349
0,0.7,1,1,0.01,0,50,50,2.1347
0,0.9,1,1,0.01,0,0,0,4.9529
0,0.9,1,1,0.01,0,0,0.5,2.6317
0,0.9,1,1,0.01,0,0,1,2.2642
0,0.9,1,1,0.01,0,0,5,2.009
0,0.9,1,1,0.01,0,0,50,2.0056
0,0.9,1,1,0.01,0,0.5,0,3.4085
0,0.9,1,1,0.01,0,0.5,0.5,2.404
0,0.9,1,1,0.01,0,0.5,1,2.1752
0,0.9,1,1,0.01,0,0.5,5,2.0078
0,0.9,1,1,0.01,0,0.5,50,2.0056
0,0.9,1,1,0.01,0,1,0,2.8833
0,0.9,1,1,0.01,0,1,0.5,2.2915
0,0.9,1,1,0.01,0,1,1,2.1312
0,0.9,1,1,0.01,0,1,5,2.0073
0,0.9,1,1,0.01,0,1,50,2.0056
0,0.9,1,1,0.01,0,5,0,2.1901
0,0.9,1,1,0.01,0,5,0.5,2.0864
0,0.9,1,1,0.01,0,5,1,2.0463
0,0.9,1,1,0.01,0,5,5,2.0064
0,0.9,1,1,0.01,0,5,50,2.0056
0,0.9,1,1,0.01,0,50,0,2.022
0,0.9,1,1,0.01,0,50,0.5,2.0142
0,0.9,1,1,0.01,0,50,1,2.0104
0,0.9,1,1,0.01,0,50,5,2.0057
0,0.9,1,1,0.01,0,50,50,2.0056
0,0.1,1,1,0.1,0,0,0,5.6773
0,0.1,1,1,0.1,0,0,0.5,3.1363
0,0.1,1,1,0.1,0,0,1,2.7004
0,0.1,1,1,0.1,0,0,5,2.3827
0,0.1,1,1,0.1,0,0,50,2.3785
0,0.1,1,1,0.1,0,0.5,0,3.9571
0,0.1,1,1,0.1,0,0.5,0.5,2.8647
0,0.1,1,1,0.1,0,0.5,1,2.5924
0,0.1,1,1,0.1,0,0.5,5,2.3813
0,0.1,1,1,0.1,0,0.5,50,2.3785
0,0.1,1,1,0.1,0,1,0,3.3573
0,0.1,1,1,0.1,0,1,0.5,2.7231
0,0.1,1,1,0.1,0,1,1,2.5351
0,0.1,1,1,0.1,0,1,5,2.3806
0,0.1,1,1,0.1,0,1,50,2.3785
0,0.1,1,1,0.1,0,5,0,2.5537
0,0.1,1,1,0.1,0,5,0.5,2.4609
0,0.1,1,1,0.1,0,5,1,2.4217
0,0.1,1,1,0.1,0,5,5,2.3793
0,0.1,1,1,0.1,0,5,50,2.3785
0,0.1,1,1,0.1,0,50,0,2.3903
0,0.1,1,1,0.1,0,50,0.5,2.3854
0,0.1,1,1,0.1,0,50,1,2.3826
0,0.1,1,1,0.1,0,50,5,2.3786
0,0.1,1,1,0.1,0,50,50,2.3785
0,0.3,1,1,0.1,0,0,0,5.6132
0,0.3,1,1,0.1,0,0,0.5,3.0885
0,0.3,1,1,0.1,0,0,1,2.6598
0,0.3,1,1,0.1,0,0,5,2.3495
0,0.3,1,1,0.1,0,0,50,2.3453
0,0.3,1,1,0.1,0,0.5,0,3.8907
0,0.3,1,1,0.1,0,0.5,0.5,2.8184
0,0.3,1,1,0.1,0,0.5,1,2.5531
0,0.3,1,1,0.1,0,0.5,5,2.348
0,0.3,1,1,0.1,0,0.5,50,2.3453
0,0.3,1,1,0.1,0,1,0,3.2981
0,0.3,1,1,0.1,0,1,0.5,2.6797
0,0.3,1,1,0.1,0,1,1,2.4972
0,0.3,1,1,0.1,0,1,5,2.3474
0,0.3,1,1,0.1,0,1,50,2.3453
0,0.3,1,1,0.1,0,5,0,2.5149
0,0.3,1,1,0.1,0,5,0.5,2.4252
0,0.3,1,1,0.1,0,5,1,2.3872
0,0.3,1,1,0.1,0,5,5,2.3461
0,0.3,1,1,0.1,0,5,50,2.3453
0,0.3,1,1,0.1,0,50,0,2.3569
0,0.3,1,1,0.1,0,50,0.5,2.3521
0,0.3,1,1,0.1,0,50,1,2.3494
0,0.3,1,1,0.1,0,50,5,2.3454
0,0.3,1,1,0.1,0,50,50,2.3453
0,0.5,1,1,0.1,0,0,0,5.3495
0,0.5,1,1,0.1,0,0,0.5,2.902
0,0.5,1,1,0.1,0,0,1,2.4995
0,0.5,1,1,0.1,0,0,5,2.2142
0,0.5,1,1,0.1,0,0,50,2.2103
0,0.5,1,1,0.1,0,0.5,0,3.667
0,0.5,1,1,0.1,0,0.5,0.5,2.6436
0,0.5,1,1,0.1,0,0.5,1,2.3985
0,0.5,1,1,0.1,0,0.5,5,2.2128
0,0.5,1,1,0.1,0,0.5,50,2.2103
0,0.5,1,1,0.1,0,1,0,3.101
0,0.5,1,1,0.1,0,1,0.5,2.5148
0,0.5,1,1,0.1,0,1,1,2.3473
0,0.5,1,1,0.1,0,1,5,2.2122
0,0.5,1,1,0.1,0,1,50,2.2103
0,0.5,1,1,0.1,0,5,0,2.3671
0,0.5,1,1,0.1,0,5,0.5,2.2839
0,0.5,1,1,0.1,0,5,1,2.2489
0,0.5,1,1,0.1,0,5,5,2.2111
0,0.5,1,1,0.1,0,5,50,2.2103
0,0.5,1,1,0.1,0,50,0,2.2212
0,0.5,1,1,0.1,0,50,0.5,2.2167
0,0.5,1,1,0.1,0,50,1,2.2142
0,0.5,1,1,0.1,0,50,5,2.2105
0,0.5,1,1,0.1,0,50,50,2.2103
0,0.7,1,1,0.1,0,0,0,4.9741
0,0.7,1,1,0.1,0,0,0.5,2.6581
0,0.7,1,1,0.1,0,0,1,2.2874
0,0.7,1,1,0.1,0,0,5,2.0285
0,0.7,1,1,0.1,0,0,50,2.0251
0,0.7,1,1,0.1,0,0.5,0,3.4016
0,0.7,1,1,0.1,0,0.5,0.5,2.4223
0,0.7,1,1,0.1,0,0.5,1,2.1953
0,0.7,1,1,0.1,0,0.5,5,2.0273
0,0.7,1,1,0.1,0,0.5,50,2.0251
0,0.7,1,1,0.1,0,1,0,2.8745
0,0.7,1,1,0.1,0,1,0.5,2.3063
0,0.7,1,1,0.1,0,1,1,2.1497
0,0.7,1,1,0.1,0,1,5,2.0268
0,0.7,1,1,0.1,0,1,50,2.0251
0,0.7,1,1,0.1,0,5,0,2.1856
0,0.7,1,1,0.1,0,5,0.5,2.0978
0,0.7,1,1,0.1,0,5,1,2.0626
0,0.7,1,1,0.1,0,5,5,2.0258
0,0.7,1,1,0.1,0,5,50,2.0251
0,0.7,1,1,0.1,0,50,0,2.0365
0,0.7,1,1,0.1,0,50,0.5,2.0317
0,0.7,1,1,0.1,0,50,1,2.029
0,0.7,1,1,0.1,0,50,5,2.0252
0,0.7,1,1,0.1,0,50,50,2.0251
0,0.9,1,1,0.1,0,0,0,4.7329
0,0.9,1,1,0.1,0,0,0.5,2.5126
0,0.9,1,1,0.1,0,0,1,2.1594
0,0.9,1,1,0.1,0,0,5,1.9126
0,0.9,1,1,0.1,0,0,50,1.9094
0,0.9,1,1,0.1,0,0.5,0,3.2486
0,0.9,1,1,0.1,0,0.5,0.5,2.293
0,0.9,1,1,0.1,0,0.5,1,2.0733
0,0.9,1,1,0.1,0,0.5,5,1.9115
0,0.9,1,1,0.1,0,0.5,50,1.9094
0,0.9,1,1,0.1,0,1,0,2.7471
0,0.9,1,1,0.1,0,1,0.5,2.1849
0,0.9,1,1,0.1,0,1,1,2.0308
0,0.9,1,1,0.1,0,1,5,1.911
0,0.9,1,1,0.1,0,1,50,1.9094
0,0.9,1,1,0.1,0,5,0,2.0872
0,0.9,1,1,0.1,0,5,0.5,1.9879
0,0.9,1,1,0.1,0,5,1,1.9489
0,0.9,1,1,0.1,0,5,5,1.9101
0,0.9,1,1,0.1,0,5,50,1.9094
0,0.9,1,1,0.1,0,50,0,1.924
0,0.9,1,1,0.1,0,50,0.5,1.9172
0,0.9,1,1,0.1,0,50,1,1.9138
0,0.9,1,1,0.1,0,50,5,1.9095
0,0.9,1,1,0.1,0,50,50,1.9094
0,0.1,1,1,0.001,1,0,0,10.686
0,0.1,1,1,0.001,1,0,0.5,5.7788
0,0.1,1,1,0.001,1,0,1,5.0188
0,0.1,1,1,0.001,1,0,5,4.4985
0,0.1,1,1,0.001,1,0,50,4.4896
0,0.1,1,1,0.001,1,0.5,0,7.4581
0,0.1,1,1,0.001,1,0.5,0.5,5.3332
0,0.1,1,1,0.001,1,0.5,1,4.8503
0,0.1,1,1,0.001,1,0.5,5,4.4958
0,0.1,1,1,0.001,1,0.5,50,4.4896
0,0.1,1,1,0.001,1,1,0,6.3115
0,0.1,1,1,0.001,1,1,0.5,5.0851
0,0.1,1,1,0.001,1,1,1,4.7509
0,0.1,1,1,0.001,1,1,5,4.4941
0,0.1,1,1,0.001,1,1,50,4.4896
0,0.1,1,1,0.001,1,5,0,4.7818
0,0.1,1,1,0.001,1,5,0.5,4.6062
0,0.1,1,1,0.001,1,5,1,4.5421
0,0.1,1,1,0.001,1,5,5,4.4903
0,0.1,1,1,0.001,1,5,50,4.4896
0,0.1,1,1,0.001,1,50,0,4.5267
0,0.1,1,1,0.001,1,50,0.5,4.5033
0,0.1,1,1,0.001,1,50,1,4.495
0,0.1,1,1,0.001,1,50,5,4.4896
0,0.1,1,1,0.001,1,50,50,4.4896
0,0.3,1,1,0.001,1,0,0,10.662
0,0.3,1,1,0.001,1,0,0.5,5.7598
0,0.3,1,1,0.001,1,0,1,5.0038
0,0.3,1,1,0.001,1,0,5,4.4874
0,0.3,1,1,0.001,1,0,50,4.4786
0,0.3,1,1,0.001,1,0.5,0,7.4286
0,0.3,1,1,0.001,1,0.5,0.5,5.3152
0,0.3,1,1,0.001,1,0.5,1,4.8363
0,0.3,1,1,0.001,1,0.5,5,4.4847
